2122 800 768
752 766 -1 1
750 766 -1 1
728 766 -1 1
723 766 -1 1
709 766 -1 1
707 766 -1 1
691 766 -1 1
690 766 -1 1
751 765 -1 2
725 765 -1 2
724 765 -1 2
715 765 -1 1
708 765 -1 2
698 765 -1 1
700 764 -1 1
751 763 -1 2
714 763 -1 1
751 762 -1 2
750 762 -1 2
748 762 -1 1
746 762 -1 1
757 761 -1 1
751 761 -1 2
713 761 -1 1
709 761 -1 2
706 761 -1 1
763 760 -1 1
737 760 -1 2
736 760 -1 2
735 760 -1 2
727 760 -1 1
709 760 -1 2
708 760 -1 2
691 760 -1 1
688 760 -1 1
754 759 -1 2
753 759 -1 2
741 759 -1 2
736 759 -1 2
709 759 -1 2
703 759 -1 1
689 759 -1 2
682 759 -1 2
753 758 -1 2
741 758 -1 2
740 758 -1 2
703 758 -1 2
695 758 -1 1
682 758 -1 1
764 757 -1 2
704 757 -1 2
703 757 -1 2
766 756 -1 2
765 756 -1 2
764 756 -1 2
763 756 -1 2
711 756 -1 2
702 756 -1 1
766 755 -1 2
734 755 -1 1
688 755 -1 2
685 755 -1 1
754 754 -1 2
711 754 -1 2
688 754 -1 2
687 754 -1 2
767 753 -1 1
756 753 -1 2
755 753 -1 2
746 753 -1 2
745 753 -1 2
733 753 -1 2
723 753 -1 2
711 753 -1 2
710 753 -1 2
688 753 -1 2
755 752 -1 2
745 752 -1 2
733 752 -1 2
732 752 -1 2
731 752 -1 2
730 752 -1 2
729 752 -1 2
724 752 -1 2
723 752 -1 2
722 752 -1 2
691 752 -1 2
689 752 -1 2
688 752 -1 2
13 752 -1 1
10 752 -1 1
744 751 -1 2
743 751 -1 2
742 751 -1 2
730 751 -1 2
718 751 -1 2
691 751 -1 2
690 751 -1 2
680 751 -1 1
10 751 -1 2
8 751 -1 1
744 750 -1 2
742 750 -1 2
741 750 -1 2
730 750 -1 1
719 750 -1 2
718 750 -1 2
717 750 -1 2
693 750 -1 2
692 750 -1 2
11 750 -1 2
10 750 -1 2
9 750 -1 2
762 749 -1 1
756 749 -1 2
714 749 -1 2
692 749 -1 2
757 748 -1 2
756 748 -1 2
755 748 -1 2
754 748 -1 2
715 748 -1 2
714 748 -1 2
692 748 -1 2
691 748 -1 2
689 748 -1 1
759 747 -1 2
758 747 -1 2
757 747 -1 2
755 747 -1 2
753 747 -1 2
716 747 -1 2
715 747 -1 2
714 747 -1 2
713 747 -1 2
699 747 -1 2
698 747 -1 2
692 747 -1 2
683 747 -1 1
758 746 -1 2
754 746 -1 2
752 746 -1 2
741 746 -1 1
729 746 -1 1
728 746 -1 1
726 746 -1 1
714 746 -1 2
698 746 -1 2
683 746 -1 1
11 746 -1 1
753 745 -1 2
741 745 -1 2
714 745 -1 2
7 745 -1 1
752 744 -1 1
744 744 -1 2
742 744 -1 2
741 744 -1 2
740 744 -1 2
739 744 -1 1
698 744 -1 1
250 744 -1 1
249 744 -1 1
773 743 -1 1
771 743 -1 1
745 743 -1 2
744 743 -1 2
743 743 -1 2
774 742 -1 1
760 742 -1 2
744 742 -1 2
761 741 -1 2
760 741 -1 2
718 741 -1 2
717 741 -1 2
690 741 -1 2
686 741 -1 1
250 741 -1 1
774 740 -1 1
765 740 -1 2
764 740 -1 2
760 740 -1 2
717 740 -1 2
690 740 -1 2
689 740 -1 2
260 740 -1 1
259 740 -1 1
249 740 -1 1
765 739 -1 2
753 739 -1 1
743 739 -1 2
738 739 -1 2
690 739 -1 2
743 738 -1 2
742 738 -1 2
739 738 -1 2
738 738 -1 2
737 738 -1 2
710 738 -1 2
757 737 -1 2
756 737 -1 2
